product_id,sku,vendor,status,image_full,image_thumb
gid://shopify/Product/15544889638985,AQD1105,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2023/07/AQD1105.png,https://www.akwa.co.za/wp-content/uploads/2023/07/AQD1105-300x300.png
gid://shopify/Product/15544888590409,AQS0588,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/06/AQS0588.png,https://www.akwa.co.za/wp-content/uploads/2025/06/AQS0588-300x300.png
gid://shopify/Product/15544888885321,AQS0589,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/06/AQS0589.png,https://www.akwa.co.za/wp-content/uploads/2025/06/AQS0589-300x300.png
gid://shopify/Product/15544888623177,AQS0590,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/06/AQS0590.png,https://www.akwa.co.za/wp-content/uploads/2025/06/AQS0590-300x300.png
gid://shopify/Product/15544893046857,AR0072,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AR0072.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AR0072-300x300.png
gid://shopify/Product/15544895340617,AS0533,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/AS0533.png,https://www.akwa.co.za/wp-content/uploads/2020/05/AS0533-300x300.png
gid://shopify/Product/15544887967817,ASK0000,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/03/ASK0000.png,https://www.akwa.co.za/wp-content/uploads/2020/03/ASK0000-300x300.png
gid://shopify/Product/15544888295497,ASK0007,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/03/ASK0007.png,https://www.akwa.co.za/wp-content/uploads/2020/03/ASK0007-300x300.png
gid://shopify/Product/15544888361033,ASK0016,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2025/10/ASK0016.png,https://www.akwa.co.za/wp-content/uploads/2025/10/ASK0016-300x300.png
gid://shopify/Product/15544892981321,BO0068,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/BO0068-e1750927186935.png,https://www.akwa.co.za/wp-content/uploads/2020/05/BO0068-e1750927186935-300x300.png
gid://shopify/Product/15544909594697,CFD0866,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/07/CFD0866.png,https://www.akwa.co.za/wp-content/uploads/2020/07/CFD0866-300x300.png
gid://shopify/Product/15544909987913,CFD0867,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/07/CFD0867.png,https://www.akwa.co.za/wp-content/uploads/2020/07/CFD0867-300x300.png
gid://shopify/Product/15544913330249,CG0824,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/CG0824.png,https://www.akwa.co.za/wp-content/uploads/2020/05/CG0824-300x300.png
gid://shopify/Product/15544913494089,CG0826,Aqua Cube,DRAFT,https://www.akwa.co.za/wp-content/uploads/2020/05/CG0826.png,https://www.akwa.co.za/wp-content/uploads/2020/05/CG0826-300x300.png
